website_url,has_bad_form,asks_username_email,asks_password,asks_phone,asks_birthday,asks_card_info,asks_ssn,has_bad_action,nil_anchors,result
https://parg.co/UJjH,False,False,False,False,False,False,False,False,0,True
https://appeal-support-case-0945poeg.surge.sh/,False,False,False,False,False,False,False,False,0,True
https://bafkreih2tfwvbkhzdlana7v46wkeflig5jsenngvxm5rplkcry7rzr6w7e.ipfs.nftstorage.link,False,False,False,False,False,False,False,False,0,True
https://www.flowcode.com/page/kjhgfgyuioijhgv,False,False,False,False,False,False,False,False,0.030303030303030304,True
https://ipfs.eth.aragon.network/ipfs/bafybeiblg3ffocpgi3fmc4eticgxo5tjokrqnq3qjkfnnr54h5kvcb37sy,True,True,True,False,False,False,False,True,0,True
https://cloudflare-ipfs.com/ipfs/bafkreiht4h7zhmfirkjoq2sq6cir64gijftvdskjup54hsqjnzohplpzim,False,False,False,False,False,False,False,False,0,True
https://www.flowcode.com/page/obimt,False,False,False,False,False,False,False,False,0.0,True
https://usps7.shop/,False,False,False,False,False,False,False,True,0.03070175438596491,True
https://retrieval-support-case-498584ii.surge.sh/,False,False,False,False,False,False,False,False,0,True
https://t19117486.brizy.site/,True,True,True,False,False,False,False,True,0.0,True
https://microsoft-109958.weeblysite.com/,False,False,False,False,False,False,False,False,0,True
https://bafybeidhmejuvmlbnpjbuaaowhgjikkphuqbfph4utcq6k3mmejfatsiai.ipfs.cf-ipfs.com/,False,False,False,False,False,False,False,False,0,True
https://uspcqs.top/go/TrackConfirmAction,False,False,False,False,False,False,False,False,0,True
https://uspstuyyp.com/,False,False,False,False,False,False,False,False,0,True
https://sectamslog.firebaseapp.com/,False,False,False,False,False,False,False,False,0.0,True
https://pub-8a0945170cf64387949197895fd51c95.r2.dev/naf1.html,False,False,False,False,False,False,False,False,0,True
http://fhi.sgz.mybluehost.me/1/,False,False,False,False,False,False,False,True,0.2222222222222222,True
https://bafybeiatttakb4qobquw7hwvk4jjcfl3izrmfr264cy63fckakzwwl4afi.ipfs.dweb.link/,False,False,False,False,False,False,False,False,0,True
https://ipfs.eth.aragon.network/ipfs/bafybeibwqwf3bjcjqw2bbyu6bfrt6xrd4k3jklmrsdji5lnocygybk2csq,False,False,False,False,False,False,False,False,0,True
https://sendemailsonline9.web.app/,True,True,True,False,False,False,False,True,1.0,True
https://bafybeib2yfbnuk54fa7oqqfe4puwcrsgzcrrkeangym5wtxpbsdcyipgj4.ipfs.nftstorage.link/,True,True,True,False,False,False,False,True,1.0,True
https://track-tols-uspost.cyou/,False,False,False,False,False,False,False,True,0.03070175438596491,True
https://bafybeig7mwgg7krs4l4lm55dn6vfnzelchv37zfcsbncvbs53r2tejrmim.ipfs.cf-ipfs.com,False,False,False,False,False,False,False,False,0,True
https://sendemailsonline6.firebaseapp.com/,True,True,True,False,False,False,False,True,1.0,True
http://www.xercomedia.net/Webmail/69/Webmail/webmail.php,True,True,True,False,False,False,False,True,0.057692307692307696,True
https://docs.google.com/presentation/d/e/2PACX-1vSY8exIN35OMAiaMPy4SPcmOkwKJpV-XIgVvMCnXPzj77GXjcyQVHdbVQFGQXrHrwp3eQqkCSKQDrRr/pub?start=false&amp;loop=false&amp;delayms=3000,False,False,False,False,False,False,False,False,0,True
https://docs.google.com/presentation/d/e/2PACX-1vQKuXib-EZ5OcL-V_ERvB0aN7cHE094R1aqN5Sp0i3hanTYRQySoreSvqcoHJIoZS4btVuE9tX1PKgG/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,False,False,False,False,False,False,False,False,0,True
https://xc-usps.com/,False,False,False,False,False,False,False,False,0,True
https://bafkreicimlth6d2px4too5vr7hp7fnk3fbzxvcknmep4n7fqh5fb45zvaq.ipfs.infura-ipfs.io,False,False,False,False,False,False,False,False,0,True
https://bafkreibre4pwizu3d73y7at37ewy6nhklfhb4mb75tp256ot67qeezmf7u.ipfs.nftstorage.link,False,False,False,False,False,False,False,False,0,True
https://dqssxw.wixsite.com/my-site,True,True,True,False,False,False,False,True,0.0,True
https://uspsaaz.top/,False,False,False,False,False,False,False,True,0.03070175438596491,True
https://usps.uspkp.com,False,False,False,False,False,False,False,False,0.0,True
https://docs.google.com/presentation/d/e/2PACX-1vTfqzeCzNVC98XYYuziKseACvd66H-tKJ2z7xAgeETFiwQhllfW5i_rDbb01nLD1t02Zu0b2xDncC7q/pub?start=false&amp;loop=false&amp;delayms=3000,False,False,False,False,False,False,False,False,0,True
https://ipfs.eth.aragon.network/ipfs/bafybeibm6le7aqfujkmxrhgserqeec2p24b6yppwc673tcbaz7quhxc2wi,False,False,False,False,False,False,False,False,0,True
https://new.express.adobe.com/webpage/U5qMcRKlYfGi4,False,False,False,False,False,False,False,False,0,True
