website_url,html_dom_path,result
https://allegrolokalnie.platnoscwsieci.pl/oferta/xbox-series-x-1tb-+-pady-+-pudelko?id=158654607,./raw_htmldom_data/1.html,True
https://pub-c9acbc9425d648de9ed14db13132603f.r2.dev/index.html#,./raw_htmldom_data/2.html,True
https://meuappamigo.com/home/c/sobre/desktop/home.php,./raw_htmldom_data/3.html,True
https://cdfvbnhy76uyhnumkjyhtbgrfedsdfyr4wdefbfgf.weebly.com/,./raw_htmldom_data/4.html,True
https://docs.google.com/document/d/1lPR6_QtkKzSxHcXlwTUIk5Leg5oFTSRZ9ndGVKWr7_Y/edit?disco=AAAA8Zm1qow&amp;usp=comment_email_discussion&amp;ts=65429319,./raw_htmldom_data/5.html,True
https://sites.google.com/view/aktualisieren-sie-ihr-postfach/home,./raw_htmldom_data/6.html,True
https://brawny-second-crayon.glitch.me/izzo.html,./raw_htmldom_data/7.html,True
https://uphod-loginn.godaddysites.com/,./raw_htmldom_data/8.html,True
https://tunaspasvulaphoto.weebly.com/,./raw_htmldom_data/9.html,True
https://apppages-sec-adsbusiness-acc-956.github.io/wamena/homes/,./raw_htmldom_data/10.html,True
https://bancolombia.com-s6.repl.co/,./raw_htmldom_data/11.html,True
https://bancolombia.com-s11.repl.co/,./raw_htmldom_data/12.html,True
https://docs.google.com/presentation/d/e/2PACX-1vT4sKpKuK4mCyeTQ3leGs1lRjYn0Yr_H3UjVnhtSG8khdcbfxg0pJS3YbVLXzRMZkAIlA6kloZcPEwv/pub?start=true&amp;loop=true&amp;delayms=3000&amp;slide=id.p,./raw_htmldom_data/13.html,True
https://57757574.000webhostapp.com/,./raw_htmldom_data/14.html,True
https://anz-net-verification.com/,./raw_htmldom_data/15.html,True
https://sites.google.com/view/currently-update0111/update,./raw_htmldom_data/16.html,True
https://metamask-sign-inn.webflow.io/,./raw_htmldom_data/17.html,True
https://facebookissue-report.surge.sh/,./raw_htmldom_data/18.html,True
https://pub-99dca80be9dd4819b4a58705535cbe0a.r2.dev/microsoft.html,./raw_htmldom_data/19.html,True
https://davivienda-validar.mayralur.repl.co/,./raw_htmldom_data/20.html,True
https://elybygloballogistics.com/.attmaill/att/index.html,./raw_htmldom_data/21.html,True
https://maile-logn-d6e5.06772.workers.dev/,./raw_htmldom_data/22.html,True
https://summer-recipe-8b8a.pragas-auth.workers.dev/,./raw_htmldom_data/23.html,True
https://dynamic-banners-2.digital-preprod.ru/irsus/,./raw_htmldom_data/24.html,True
https://xeroxdocshare.msn365-liveoutlook.workers.dev/,./raw_htmldom_data/25.html,True
https://spectrum-holly-buzzard.glitch.me/yam.html,./raw_htmldom_data/26.html,True
https://web11931.web09.bero-webspace.de/,./raw_htmldom_data/27.html,True
https://debrasanders238.wixsite.com/my-site-1,./raw_htmldom_data/28.html,True
http://center.business-support.asia/confirm,./raw_htmldom_data/29.html,True
https://javiguerrero.es/,./raw_htmldom_data/30.html,True
http://javiguerrero.es/,./raw_htmldom_data/31.html,True
https://bhd-soluciones.webcindario.com/,./raw_htmldom_data/32.html,True
https://bhd-solucione.webcindario.com/,./raw_htmldom_data/33.html,True
https://sucursal-virtual-bancolombia.replit.app/,./raw_htmldom_data/34.html,True
http://fhi.sgz.mybluehost.me/1/Recibir_paquete.php,./raw_htmldom_data/35.html,True
http://fhi.sgz.mybluehost.me/1/,./raw_htmldom_data/36.html,True
https://bafkreihprrnbtk5hofutmatxovlvzcnemwyudt6rhy75ayvzc7l74innha.ipfs.dweb.link/,./raw_htmldom_data/37.html,True
http://bafkreihprrnbtk5hofutmatxovlvzcnemwyudt6rhy75ayvzc7l74innha.ipfs.dweb.link,./raw_htmldom_data/38.html,True
https://apppages-notif-adsbusiness-rec-acc.github.io/aremane/homes/,./raw_htmldom_data/39.html,True
https://via.peaknext.co/login.php,./raw_htmldom_data/40.html,True
https://kravenscomics.com/irsmeimrs.html,./raw_htmldom_data/41.html,True
https://new.express.adobe.com/webpage/O8HXR3xnboKwA,./raw_htmldom_data/42.html,True
https://bio.site/galicia.online,./raw_htmldom_data/43.html,True
http://cz20333.tw1.ru/99055/locatar/home.php?newtoken,./raw_htmldom_data/44.html,True
http://webmail.nurealahee.com/5870.html,./raw_htmldom_data/45.html,True
https://tctermofusao.com.br/xvxwx/app/login.php,./raw_htmldom_data/46.html,True
https://www.flowcode.com/page/iuytrtyuiop,./raw_htmldom_data/47.html,True
https://sbcglobalcustomercare.godaddysites.com/,./raw_htmldom_data/48.html,True
http://lrsclaimtax.us,./raw_htmldom_data/49.html,True
http://barclaysonlineverifyme.com,./raw_htmldom_data/50.html,True
http://mobile.service.ydns.eu/,./raw_htmldom_data/51.html,True
https://azekream.ddns.net/Ma/yu/fr/,./raw_htmldom_data/52.html,True
https://mail.lnfo.poste.184-73-55-153.cprapid.com/,./raw_htmldom_data/53.html,True
https://www.smtbank.top/,./raw_htmldom_data/54.html,True
https://dynamic-banners-2.digital-preprod.ru/irsus/personal.html,./raw_htmldom_data/55.html,True
https://irs-taxclaims.103-37-124-99.cprapid.com/,./raw_htmldom_data/56.html,True
http://sgkb-ch.mx/,./raw_htmldom_data/57.html,True
https://zimbratokenx.x24hr.com/,./raw_htmldom_data/58.html,True
